func,budget,contrast,ref,eps,cycle,n_seeds,pr_ref,pr_arm,pr_d,pr_wtl,pr_p,pr_a12,cov_ref,cov_arm,cov_d,cov_wtl,cov_p,cov_a12,loss_ref,loss_arm,loss_d,loss_wtl,loss_p,loss_a12,cov_holm,loss_holm,silent,silent_holm,cancelling,movers,channel
N07-Vincent2D,200k,cp_soltrim / commit_place,commit_place,1e-05,core,15,0.3648,0.3648,0.0,0/15/0,1.0,0.5,0.5519,0.5519,0.0,0/15/0,1.0,0.5,0.187,0.187,0.0,0/15/0,1.0,0.5,False,False,False,False,False,-,-
N06-Shubert2D,200k,soltrim_rho / base,base,0.1,e61,15,0.9963,0.9963,0.0,0/15/0,1.0,0.5,1.0,1.0,0.0,0/15/0,1.0,0.5,0.0037,0.0037,0.0,0/15/0,1.0,0.5,False,False,False,False,False,-,-
N06-Shubert2D,200k,soltrim_rho / base,base,0.01,e61,15,0.9963,0.9963,0.0,0/15/0,1.0,0.5,1.0,1.0,0.0,0/15/0,1.0,0.5,0.0037,0.0037,0.0,0/15/0,1.0,0.5,False,False,False,False,False,-,-
N06-Shubert2D,200k,soltrim_rho / base,base,0.001,e61,15,0.9963,0.9963,0.0,0/15/0,1.0,0.5,1.0,1.0,0.0,0/15/0,1.0,0.5,0.0037,0.0037,0.0,0/15/0,1.0,0.5,False,False,False,False,False,-,-
N06-Shubert2D,200k,soltrim_rho / base,base,0.0001,e61,15,0.9963,0.9963,0.0,0/15/0,1.0,0.5,1.0,1.0,0.0,0/15/0,1.0,0.5,0.0037,0.0037,0.0,0/15/0,1.0,0.5,False,False,False,False,False,-,-
N06-Shubert2D,200k,soltrim_rho / base,base,1e-05,e61,15,0.7185,0.7185,0.0,0/15/0,1.0,0.5,0.7185,0.7185,0.0,0/15/0,1.0,0.5,0.0,0.0,0.0,0/15/0,1.0,0.5,False,False,False,False,False,-,-
N06-Shubert2D,200k,basin_reset / base,base,0.1,e80,15,0.9963,0.9889,-0.0074,1/12/2,0.6506,0.47,1.0,1.0,0.0,0/15/0,1.0,0.5,0.0037,0.0111,0.0074,2/12/1,0.6506,0.53,False,False,False,False,False,-,-
N06-Shubert2D,200k,basin_reset / base,base,0.01,e80,15,0.9963,0.9889,-0.0074,1/12/2,0.6506,0.47,1.0,1.0,0.0,0/15/0,1.0,0.5,0.0037,0.0111,0.0074,2/12/1,0.6506,0.53,False,False,False,False,False,-,-
N06-Shubert2D,200k,basin_reset / base,base,0.001,e80,15,0.9963,0.9889,-0.0074,1/12/2,0.6506,0.47,1.0,1.0,0.0,0/15/0,1.0,0.5,0.0037,0.0111,0.0074,2/12/1,0.6506,0.53,False,False,False,False,False,-,-
N06-Shubert2D,200k,basin_reset / base,base,0.0001,e80,15,0.9963,0.9889,-0.0074,1/12/2,0.6506,0.47,1.0,1.0,0.0,0/15/0,1.0,0.5,0.0037,0.0111,0.0074,2/12/1,0.6506,0.53,False,False,False,False,False,-,-
