draw,start_opt,land_opt,dist,best_f,evals
253,0,0,0.0027366523411649214,0.002526688948732049,1500
255,4,5,0.0014514799034126224,0.00039707819046359914,1500
254,3,5,0.00015181638440994456,4.332950535217697e-06,1500
256,3,5,0.0027416859788097292,0.0014815787133192037,1500
257,4,5,0.0004965729736149113,4.614345516267664e-05,1500
258,3,5,0.0021148278065530723,0.0008570641982148709,1500
259,5,5,0.000611351485996208,6.851377389017513e-05,1500
260,4,5,0.0008749992354704086,0.00014536631967263127,1500
262,0,0,0.021634329104297308,0.1577091243059482,1500
261,1,1,0.00023609756413185175,1.7542652610834933e-05,1500
263,4,5,0.0010572055397652749,0.0002180545934765927,1500
264,2,5,0.0010047683487093033,0.00019243541094700955,1500
267,0,5,0.0004298454870312616,3.582435379280308e-05,1500
266,4,4,0.0006980716819978768,0.00016189024138347333,1500
265,4,5,0.0009820120925583548,0.00018060141557152973,1500
268,4,5,0.0002724937637368452,1.4498677499415072e-05,1500
270,4,5,0.0005494809818483541,5.625718943888759e-05,1500
269,0,5,0.00047661499582008106,4.4430548684477776e-05,1500
271,3,5,0.002365771886371617,0.0010971665483315214,1500
272,3,5,0.0016400261106858656,0.0005050046514154187,1500
273,3,5,0.0005244354951929092,5.387044300332336e-05,1500
274,5,5,0.000226525287433696,1.013256808349307e-05,1500
275,2,5,0.0021397951882359237,0.0009481299384567182,1500
276,0,0,2.4842541184439613,202.67666343773567,1500
277,4,5,0.0003259217382484936,2.0495983335510596e-05,1500
278,2,0,0.0023834720785845804,0.0019069743632027546,1500
279,4,5,0.001224252318777486,0.00028675236698584117,1500
280,3,5,0.002210615105804325,0.0009104872245714322,1500
281,4,5,0.0013281354377898727,0.00032958576571249197,1500
282,4,4,0.00021120821706217406,1.1405979941099962e-05,1500
283,3,5,0.0041477893883798776,0.003264389435806212,1500
284,3,5,0.000815247286894986,0.0001289625537256234,1500
285,5,5,0.0004380582452611969,3.6252166421042946e-05,1500
286,3,5,0.0003021751697901153,1.780734530767415e-05,1500
287,3,5,0.0036053836410130363,0.0024448096956901214,1500
289,3,5,0.0003798336371129436,2.7246802468722256e-05,1500
288,4,4,8.056388291587655e-05,1.70343804143705e-06,1500
291,4,5,0.0008585161900484668,0.0001400259466277325,1500
290,3,5,0.000224877727567951,9.713597505362689e-06,1500
292,5,5,3.2086622275295146e-05,1.898455692072028e-07,1500
