pid,idx,nn,tau,clustered,hits,reached
M06,12,2.687989141532595,4.972669187352975,1,0,0
M06,13,7.206352308277926,4.972669187352975,0,15,1
M06,14,3.748313334185197,4.972669187352975,1,0,0
M06,15,4.8710646299799985,4.972669187352975,1,1,1
M06,16,9.265736264644353,4.972669187352975,0,19,1
M06,17,2.687989141532595,4.972669187352975,1,0,0
M06,18,8.290018866175338,4.972669187352975,0,5,1
M06,19,6.701981305598733,4.972669187352975,0,9,1
M07,0,5.2958239829812745,4.980729551521543,0,0,0
M07,1,4.075204927634593,4.980729551521543,1,0,0
M07,2,10.211895149062462,4.980729551521543,0,3,1
M07,3,7.584465126522341,4.980729551521543,0,13,1
M07,4,7.436127785691167,4.980729551521543,0,6,1
M07,5,6.191893789468493,4.980729551521543,0,6,1
M07,6,9.817914137707092,4.980729551521543,0,23,1
M07,7,3.58562626042944,4.980729551521543,1,0,0
M07,8,10.172034937315265,4.980729551521543,0,16,1
M07,9,8.193600263401695,4.980729551521543,0,17,1
M07,10,2.978719741816097,4.980729551521543,1,0,0
M07,11,7.646719283592097,4.980729551521543,0,0,0
M07,12,6.514015433272204,4.980729551521543,0,0,0
M07,13,7.391906171047971,4.980729551521543,0,13,1
M07,14,10.172034937315265,4.980729551521543,0,1,1
M07,15,2.978719741816097,4.980729551521543,1,0,0
M07,16,4.604115758127875,4.980729551521543,1,0,0
M07,17,10.557552259113661,4.980729551521543,0,15,1
M07,18,3.4861397671824643,4.980729551521543,1,0,0
M07,19,5.5523800937506005,4.980729551521543,0,0,0
M08,0,6.226070705966198,4.970503891609158,0,7,1
M08,1,8.416315013393977,4.970503891609158,0,12,1
M08,2,6.753398506914191,4.970503891609158,0,5,1
M08,3,5.5669169544680095,4.970503891609158,0,4,1
M08,4,2.754564666855015,4.970503891609158,1,0,0
M08,5,9.48562425986812,4.970503891609158,0,16,1
M08,6,8.8182712220722,4.970503891609158,0,14,1
M08,7,9.842881390053963,4.970503891609158,0,9,1
M08,8,4.808810295616192,4.970503891609158,1,2,1
M08,9,8.645539365873226,4.970503891609158,0,10,1
M08,10,8.023343297699403,4.970503891609158,0,22,1
M08,11,7.08132408084112,4.970503891609158,0,0,0
M08,12,10.951864398562167,4.970503891609158,0,11,1
M08,13,4.261752175515596,4.970503891609158,1,3,1
M08,14,3.5691106443392697,4.970503891609158,1,0,0
M08,15,3.151384487661698,4.970503891609158,1,0,0
M08,16,2.754564666855015,4.970503891609158,1,0,0
M08,17,4.786218627642103,4.970503891609158,1,0,0
M08,18,6.8319094329865,4.970503891609158,0,8,1
M08,19,4.519001621410577,4.970503891609158,1,0,0
M09,0,7.350280755274436,5.5120703441763,0,5,1
M09,1,8.924907372655621,5.5120703441763,0,3,1
M09,2,9.908298075610888,5.5120703441763,0,15,1
M09,3,6.685663277361207,5.5120703441763,0,1,1
M09,4,7.427892411990199,5.5120703441763,0,1,1
M09,5,7.916176766173846,5.5120703441763,0,0,0
M09,6,6.685663277361207,5.5120703441763,0,1,1
M09,7,9.924540577827427,5.5120703441763,0,5,1
M09,8,10.449493083220693,5.5120703441763,0,15,1
