descent,evals,best_f,land_opt,dist,stop,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
21,5140,1.14184217637e-10,16,1.74535e-10,tolxstagnation,3.61019624457,-2.85791977842,3.28068244117,0.710866249783,1.18772173802,-3.43657903698,-2.19962605406,-0.431118301594,-3.00935292383,-1.6507659962
22,4490,1.12237330541e-10,16,1.54575e-10,tolxstagnation,3.61019624469,-2.85791977851,3.28068244111,0.71086624987,1.18772173794,-3.43657903693,-2.19962605403,-0.431118301623,-3.00935292368,-1.65076599632
23,12510,2.77706206475e-07,8,3.2445e-06,maxfevals,0.736599384288,-3.39336148907,0.687135168332,-1.87775942586,-1.91377685696,-0.494905516138,-2.69450667406,2.16902147566,3.12316602862,3.90855455723
24,12510,6.68002144266e-07,3,9.09292e-06,maxfevals,-1.87668933156,4.47430260065,0.634792517802,-1.41206810525,-0.894811056848,-0.494012329387,-2.76566629447,1.47694236191,-1.9999367785,-3.10235638281
25,4490,1.05174535747e-10,16,1.47961e-10,tolxstagnation,3.61019624458,-2.85791977846,3.28068244115,0.710866249784,1.18772173802,-3.43657903696,-2.19962605409,-0.431118301688,-3.00935292377,-1.65076599619
26,4510,3.08091330226e-11,16,2.6209e-11,tolxstagnation,3.61019624466,-2.85791977852,3.28068244113,0.710866249847,1.18772173796,-3.43657903694,-2.1996260541,-0.431118301605,-3.00935292375,-1.65076599622
27,12510,6.32387198607e-07,3,8.7539e-06,maxfevals,-1.87668902076,4.47430226851,0.634792335592,-1.41206780076,-0.894811262978,-0.494012472372,-2.76566653373,1.47694268048,-1.99993704525,-3.10235645435
28,12510,1.2643994296e-08,4,1.11022e-07,maxfevals,-1.92703745339,-3.84620142913,3.14453260096,2.83731122274,2.58720753785,4.37001181126,-2.62165614434,-0.948697391558,2.81668073974,-3.49316602805
29,12510,8.34916136228e-10,15,6.27543e-09,maxfevals,1.94373228168,-0.450413545271,-0.588811676419,1.3147978109,-1.11470258419,-1.61875927283,2.46039267007,3.41074611616,-0.51539664318,1.51138203061
30,12510,2.53725573884e-07,8,3.02363e-06,maxfevals,0.736599483856,-3.39336162047,0.68713507631,-1.87775940122,-1.91377706386,-0.49490546265,-2.69450652518,2.1690211544,3.12316634152,3.90855446218
