function,method,seed,n_report,spread,distinct,quality
F06-AttractiveSector,Crowding-DE,1,30,0.07514,3,5.17296e+07
F06-AttractiveSector,MAP-Elites,1,400,0.09942,5,1.60406e+08
F06-AttractiveSector,MC-ESO-crowd,1,33,0.13850,5,2.33992e+08
F06-AttractiveSector,MC-ESO,2,32,0.00000,1,4.85542
F06-AttractiveSector,NMMSO,2,2,0.30219,2,5.53639e+11
F06-AttractiveSector,NCDE,2,30,0.60339,5,9.88417e+12
F06-AttractiveSector,r3pso,2,30,0.00000,1,0.0451627
F06-AttractiveSector,NM-Restart,2,26,0.51161,3,3.6428e+11
F06-AttractiveSector,IPOP-CMA-ES,2,52,0.09168,5,1.82173e+08
F06-AttractiveSector,DE,2,30,0.00000,1,0
F06-AttractiveSector,PSO,2,30,0.00000,1,0.000108094
F06-AttractiveSector,Crowding-DE,2,30,0.08626,4,9.11275e+07
F06-AttractiveSector,MAP-Elites,2,400,0.11100,5,2.00854e+08
F06-AttractiveSector,MC-ESO-crowd,2,40,0.10886,5,2.08533e+08
F07-StepEllipsoidal,MC-ESO,0,34,0.15116,5,0.00273478
F07-StepEllipsoidal,NMMSO,0,2,0.00000,1,0
F07-StepEllipsoidal,NCDE,0,30,0.22242,5,0.00436754
F07-StepEllipsoidal,r3pso,0,30,0.00000,1,0
F07-StepEllipsoidal,NM-Restart,0,33,0.32041,5,0.0214247
F07-StepEllipsoidal,IPOP-CMA-ES,0,198,0.12456,5,0.00175414
F07-StepEllipsoidal,DE,0,30,0.00000,1,0
F07-StepEllipsoidal,PSO,0,30,0.00000,1,0
F07-StepEllipsoidal,Crowding-DE,0,30,0.21428,5,0.00351831
F07-StepEllipsoidal,MAP-Elites,0,400,0.13055,5,0.002073
F07-StepEllipsoidal,MC-ESO-crowd,0,40,0.17422,5,0.0027395
F07-StepEllipsoidal,MC-ESO,1,34,0.18486,5,0.00266757
F07-StepEllipsoidal,NMMSO,1,4,0.31211,3,0.0655209
F07-StepEllipsoidal,NCDE,1,30,0.21837,5,0.00443324
F07-StepEllipsoidal,r3pso,1,30,0.00000,1,0
F07-StepEllipsoidal,NM-Restart,1,33,0.49172,5,0.0483812
F07-StepEllipsoidal,IPOP-CMA-ES,1,198,0.07439,3,0.00146179
F07-StepEllipsoidal,DE,1,30,0.00000,1,0
F07-StepEllipsoidal,PSO,1,30,0.00000,1,0
F07-StepEllipsoidal,Crowding-DE,1,30,0.19779,5,0.00323047
F07-StepEllipsoidal,MAP-Elites,1,400,0.18299,5,0.00281908
F07-StepEllipsoidal,MC-ESO-crowd,1,40,0.25946,5,0.00358873
F07-StepEllipsoidal,MC-ESO,2,33,0.00000,1,0
F07-StepEllipsoidal,NMMSO,2,6,0.17492,3,0.00287717
F07-StepEllipsoidal,NCDE,2,30,0.19034,5,0.00266908
F07-StepEllipsoidal,r3pso,2,30,0.00000,1,0
F07-StepEllipsoidal,NM-Restart,2,33,0.40854,5,0.0268471
F07-StepEllipsoidal,IPOP-CMA-ES,2,198,0.10958,5,0.0015808
F07-StepEllipsoidal,DE,2,30,0.00000,1,0
F07-StepEllipsoidal,PSO,2,30,0.00000,1,0
F07-StepEllipsoidal,Crowding-DE,2,30,0.12964,5,0.00181985
F07-StepEllipsoidal,MAP-Elites,2,400,0.18750,5,0.00231902
F07-StepEllipsoidal,MC-ESO-crowd,2,35,0.20217,5,0.00358401
F08-Rosenbrock,MC-ESO,0,28,0.11286,5,1.25715e+11
F08-Rosenbrock,NMMSO,0,6,0.35819,5,2.19903e+11
F08-Rosenbrock,NCDE,0,30,0.19953,5,3.04287e+10
F08-Rosenbrock,r3pso,0,30,0.10469,3,1.23239e+10
F08-Rosenbrock,NM-Restart,0,20,0.55827,2,9.1224e+10
F08-Rosenbrock,IPOP-CMA-ES,0,52,0.00000,1,0
F08-Rosenbrock,DE,0,30,0.00000,1,0
F08-Rosenbrock,PSO,0,30,0.00000,1,294130
F08-Rosenbrock,Crowding-DE,0,30,0.12690,5,1.66129e+10
F08-Rosenbrock,MAP-Elites,0,400,0.24895,5,5.33439e+10
F08-Rosenbrock,MC-ESO-crowd,0,36,0.18130,5,2.76236e+10
F08-Rosenbrock,MC-ESO,1,26,0.12965,5,2.41632e+11
F08-Rosenbrock,NMMSO,1,4,0.32109,3,2.18419e+11
F08-Rosenbrock,NCDE,1,30,0.12758,5,1.50698e+10
F08-Rosenbrock,r3pso,1,30,0.00000,1,2.75729e+06
F08-Rosenbrock,NM-Restart,1,19,0.44905,3,7.5724e+10
F08-Rosenbrock,IPOP-CMA-ES,1,52,0.00000,1,0
F08-Rosenbrock,DE,1,30,0.00000,1,1.94517e+09
F08-Rosenbrock,PSO,1,30,0.06366,2,6.89019e+11
F08-Rosenbrock,Crowding-DE,1,30,0.12059,5,1.13816e+10
F08-Rosenbrock,MAP-Elites,1,400,0.18947,5,4.251e+10
F08-Rosenbrock,MC-ESO-crowd,1,38,0.20739,5,3.32413e+10
F08-Rosenbrock,MC-ESO,2,29,0.35896,5,9.05047e+12
F08-Rosenbrock,NMMSO,2,5,0.32038,4,1.1676e+11
F08-Rosenbrock,NCDE,2,30,0.26269,5,4.47468e+10
F08-Rosenbrock,r3pso,2,30,0.05256,2,2.56253e+09
F08-Rosenbrock,NM-Restart,2,21,0.45365,3,7.87161e+10
F08-Rosenbrock,IPOP-CMA-ES,2,52,0.00000,1,0
F08-Rosenbrock,DE,2,30,0.00000,1,0
F08-Rosenbrock,PSO,2,30,0.09534,3,2.42366e+12
F08-Rosenbrock,Crowding-DE,2,30,0.17698,5,2.6758e+10
F08-Rosenbrock,MAP-Elites,2,400,0.17234,5,2.29502e+10
F08-Rosenbrock,MC-ESO-crowd,2,37,0.16723,5,2.5668e+10
F09-RosenbrockRot,MC-ESO,0,29,0.25507,5,1.02174e+13
F09-RosenbrockRot,NMMSO,0,4,0.37291,3,5.07833e+11
F09-RosenbrockRot,NCDE,0,30,0.14903,5,3.52234e+10
F09-RosenbrockRot,r3pso,0,30,0.00000,1,69240.4
F09-RosenbrockRot,NM-Restart,0,19,0.65726,2,2.5773e+14
F09-RosenbrockRot,IPOP-CMA-ES,0,52,0.00000,1,0
F09-RosenbrockRot,DE,0,30,0.00000,1,0
F09-RosenbrockRot,PSO,0,30,0.00000,1,190.908
F09-RosenbrockRot,Crowding-DE,0,30,0.14091,5,3.64898e+10
F09-RosenbrockRot,MAP-Elites,0,400,0.16184,5,7.87331e+10
F09-RosenbrockRot,MC-ESO-crowd,0,37,0.25592,5,9.22313e+10
F09-RosenbrockRot,MC-ESO,1,28,0.07039,3,1.61407e+10
F09-RosenbrockRot,NMMSO,1,4,0.36604,3,5.46293e+11
F09-RosenbrockRot,NCDE,1,30,0.13305,5,3.39431e+10
F09-RosenbrockRot,r3pso,1,30,0.00000,1,1.05e+06
F09-RosenbrockRot,NM-Restart,1,18,0.07790,2,7.87525e+09
F09-RosenbrockRot,IPOP-CMA-ES,1,52,0.00000,1,0
F09-RosenbrockRot,DE,1,30,0.00000,1,0
F09-RosenbrockRot,PSO,1,30,0.00000,1,1062.65
F09-RosenbrockRot,Crowding-DE,1,30,0.13521,5,4.39669e+10
