function,method,seed,scenario,regret,spread,wiped
F01-Sphere,IPOP-CMA-ES+s,0,24,9.90226,0.00263,1
F01-Sphere,IPOP-CMA-ES+s,0,25,0,0.00263,0
F01-Sphere,IPOP-CMA-ES+s,0,26,0,0.00263,0
F01-Sphere,IPOP-CMA-ES+s,0,27,0,0.00263,0
F01-Sphere,IPOP-CMA-ES+s,0,28,0,0.00263,0
F01-Sphere,IPOP-CMA-ES+s,0,29,0,0.00263,0
F01-Sphere,IPOP-CMA-ES+s,0,30,0.0886444,0.00263,1
F01-Sphere,IPOP-CMA-ES+s,0,31,0.199064,0.00263,1
F01-Sphere,IPOP-CMA-ES+s,0,32,0.178035,0.00263,1
F01-Sphere,IPOP-CMA-ES+s,0,33,0,0.00263,0
F01-Sphere,IPOP-CMA-ES+s,0,34,9.99345,0.00263,1
F01-Sphere,IPOP-CMA-ES+s,0,35,0,0.00263,0
F01-Sphere,IPOP-CMA-ES+s,0,36,0.214063,0.00263,1
F01-Sphere,IPOP-CMA-ES+s,0,37,0,0.00263,0
F01-Sphere,IPOP-CMA-ES+s,0,38,0.223178,0.00263,1
F01-Sphere,IPOP-CMA-ES+s,0,39,0,0.00263,0
F01-Sphere,IPOP-CMA-ES+s,0,40,9.98815,0.00263,1
F01-Sphere,IPOP-CMA-ES+s,0,41,0.108362,0.00263,1
F01-Sphere,IPOP-CMA-ES+s,0,42,0,0.00263,0
F01-Sphere,IPOP-CMA-ES+s,0,43,9.8954,0.00263,1
F01-Sphere,IPOP-CMA-ES+s,0,44,0,0.00263,0
F01-Sphere,DE,0,15,0,0.00000,0
F01-Sphere,DE,0,16,0.201595,0.00000,1
F01-Sphere,DE,0,17,0,0.00000,0
F01-Sphere,DE,0,18,0,0.00000,0
F01-Sphere,DE,0,19,0.209439,0.00000,1
F01-Sphere,DE,0,20,0,0.00000,0
F01-Sphere,DE,0,21,0.23952,0.00000,1
F01-Sphere,DE,0,22,0,0.00000,0
F01-Sphere,DE,0,23,0.178908,0.00000,1
F01-Sphere,DE,0,24,9.91975,0.00000,1
F01-Sphere,DE,0,25,0,0.00000,0
F01-Sphere,DE,0,26,0,0.00000,0
F01-Sphere,DE,0,27,0,0.00000,0
F01-Sphere,DE,0,28,0,0.00000,0
F01-Sphere,DE,0,29,0,0.00000,0
F01-Sphere,DE,0,30,0.11447,0.00000,1
F01-Sphere,DE,0,31,0.205161,0.00000,1
F01-Sphere,DE,0,32,0.194503,0.00000,1
F01-Sphere,DE,0,33,0,0.00000,0
F01-Sphere,DE,0,34,10.0183,0.00000,1
F01-Sphere,DE,0,35,0,0.00000,0
F01-Sphere,DE,0,36,0.214063,0.00000,1
F01-Sphere,DE,0,37,0,0.00000,0
F01-Sphere,DE,0,38,0.223178,0.00000,1
F01-Sphere,DE,0,39,0,0.00000,0
F01-Sphere,DE,0,40,10.005,0.00000,1
F01-Sphere,DE,0,41,0.134589,0.00000,1
F01-Sphere,DE,0,42,0,0.00000,0
F01-Sphere,DE,0,43,9.91335,0.00000,1
F01-Sphere,DE,0,44,0,0.00000,0
F01-Sphere,DE+s,0,15,0,0.00000,0
F01-Sphere,DE+s,0,16,0.201594,0.00000,1
F01-Sphere,DE+s,0,17,0,0.00000,0
F01-Sphere,DE+s,0,18,0,0.00000,0
F01-Sphere,DE+s,0,19,0.209439,0.00000,1
F01-Sphere,DE+s,0,20,0,0.00000,0
F01-Sphere,DE+s,0,21,0.23952,0.00000,1
F01-Sphere,DE+s,0,22,0,0.00000,0
F01-Sphere,DE+s,0,23,0.178908,0.00000,1
F01-Sphere,DE+s,0,24,9.91975,0.00000,1
F01-Sphere,DE+s,0,25,0,0.00000,0
F01-Sphere,DE+s,0,26,0,0.00000,0
F01-Sphere,DE+s,0,27,0,0.00000,0
F01-Sphere,DE+s,0,28,0,0.00000,0
F01-Sphere,DE+s,0,29,0,0.00000,0
F01-Sphere,DE+s,0,30,0.11447,0.00000,1
F01-Sphere,DE+s,0,31,0.205161,0.00000,1
F01-Sphere,DE+s,0,32,0.194503,0.00000,1
F01-Sphere,DE+s,0,33,0,0.00000,0
F01-Sphere,DE+s,0,34,10.0183,0.00000,1
F01-Sphere,DE+s,0,35,0,0.00000,0
F01-Sphere,DE+s,0,36,0.214063,0.00000,1
F01-Sphere,DE+s,0,37,0,0.00000,0
F01-Sphere,DE+s,0,38,0.223178,0.00000,1
F01-Sphere,DE+s,0,39,0,0.00000,0
F01-Sphere,DE+s,0,40,10.005,0.00000,1
F01-Sphere,DE+s,0,41,0.134589,0.00000,1
F01-Sphere,DE+s,0,42,0,0.00000,0
F01-Sphere,DE+s,0,43,9.91335,0.00000,1
F01-Sphere,DE+s,0,44,0,0.00000,0
F01-Sphere,PSO,0,15,0,0.00000,0
F01-Sphere,PSO,0,16,0.201594,0.00000,1
F01-Sphere,PSO,0,17,0,0.00000,0
F01-Sphere,PSO,0,18,0,0.00000,0
F01-Sphere,PSO,0,19,0.209439,0.00000,1
F01-Sphere,PSO,0,20,0,0.00000,0
F01-Sphere,PSO,0,21,0.23952,0.00000,1
F01-Sphere,PSO,0,22,0,0.00000,0
F01-Sphere,PSO,0,23,0.178908,0.00000,1
F01-Sphere,PSO,0,24,9.91975,0.00000,1
F01-Sphere,PSO,0,25,0,0.00000,0
F01-Sphere,PSO,0,26,0,0.00000,0
F01-Sphere,PSO,0,27,0,0.00000,0
F01-Sphere,PSO,0,28,0,0.00000,0
F01-Sphere,PSO,0,29,0,0.00000,0
F01-Sphere,PSO,0,30,0.11447,0.00000,1
F01-Sphere,PSO,0,31,0.205161,0.00000,1
F01-Sphere,PSO,0,32,0.194503,0.00000,1
F01-Sphere,PSO,0,33,0,0.00000,0
F01-Sphere,PSO,0,34,10.0183,0.00000,1
F01-Sphere,PSO,0,35,0,0.00000,0
F01-Sphere,PSO,0,36,0.214064,0.00000,1
F01-Sphere,PSO,0,37,0,0.00000,0
F01-Sphere,PSO,0,38,0.223178,0.00000,1
F01-Sphere,PSO,0,39,0,0.00000,0
F01-Sphere,PSO,0,40,10.005,0.00000,1
F01-Sphere,PSO,0,41,0.134589,0.00000,1
F01-Sphere,PSO,0,42,0,0.00000,0
F01-Sphere,PSO,0,43,9.91335,0.00000,1
F01-Sphere,PSO,0,44,0,0.00000,0
F01-Sphere,PSO+s,0,15,0,0.00000,0
F01-Sphere,PSO+s,0,16,0.201583,0.00000,1
F01-Sphere,PSO+s,0,17,0,0.00000,0
F01-Sphere,PSO+s,0,18,0,0.00000,0
F01-Sphere,PSO+s,0,19,0.209436,0.00000,1
F01-Sphere,PSO+s,0,20,0,0.00000,0
F01-Sphere,PSO+s,0,21,0.239517,0.00000,1
F01-Sphere,PSO+s,0,22,0,0.00000,0
F01-Sphere,PSO+s,0,23,0.178906,0.00000,1
F01-Sphere,PSO+s,0,24,9.91974,0.00000,1
F01-Sphere,PSO+s,0,25,0,0.00000,0
F01-Sphere,PSO+s,0,26,0,0.00000,0
F01-Sphere,PSO+s,0,27,0,0.00000,0
F01-Sphere,PSO+s,0,28,0,0.00000,0
F01-Sphere,PSO+s,0,29,0,0.00000,0
F01-Sphere,PSO+s,0,30,0.114465,0.00000,1
F01-Sphere,PSO+s,0,31,0.205158,0.00000,1
F01-Sphere,PSO+s,0,32,0.194492,0.00000,1
F01-Sphere,PSO+s,0,33,0,0.00000,0
F01-Sphere,PSO+s,0,34,10.0183,0.00000,1
F01-Sphere,PSO+s,0,35,0,0.00000,0
F01-Sphere,PSO+s,0,36,0.21406,0.00000,1
F01-Sphere,PSO+s,0,37,0,0.00000,0
F01-Sphere,PSO+s,0,38,0.223175,0.00000,1
F01-Sphere,PSO+s,0,39,0,0.00000,0
F01-Sphere,PSO+s,0,40,10.005,0.00000,1
F01-Sphere,PSO+s,0,41,0.134587,0.00000,1
F01-Sphere,PSO+s,0,42,0,0.00000,0
F01-Sphere,PSO+s,0,43,9.91334,0.00000,1
F01-Sphere,PSO+s,0,44,0,0.00000,0
F01-Sphere,Crowding-DE,0,15,4.23952e-09,0.00000,0
F01-Sphere,Crowding-DE,0,16,0.201531,0.00000,1
F01-Sphere,Crowding-DE,0,17,4.23952e-09,0.00000,0
F01-Sphere,Crowding-DE,0,18,4.23952e-09,0.00000,0
F01-Sphere,Crowding-DE,0,19,0.209464,0.00000,1
