function,method,seed,scenario,regret,wiped
F24-LunacekRastrigin,MC-ESO-crowd,0,37,1.18751,0
F24-LunacekRastrigin,MC-ESO-crowd,0,38,1.18751,0
F24-LunacekRastrigin,MC-ESO-crowd,0,39,0.177854,0
F24-LunacekRastrigin,MC-ESO-crowd,0,40,0.177854,0
F24-LunacekRastrigin,MC-ESO-crowd,0,41,1.18751,0
F24-LunacekRastrigin,MC-ESO-crowd,0,42,1.18751,0
F24-LunacekRastrigin,MC-ESO-crowd,0,43,0.177854,0
F24-LunacekRastrigin,MC-ESO-crowd,0,44,0.177854,0
F24-LunacekRastrigin,quality,0,15,0.310099,0
F24-LunacekRastrigin,quality,0,16,0.0020446,0
F24-LunacekRastrigin,quality,0,17,0.0020446,0
F24-LunacekRastrigin,quality,0,18,1.80065,0
F24-LunacekRastrigin,quality,0,19,168.465,1
F24-LunacekRastrigin,quality,0,20,0.0020446,0
F24-LunacekRastrigin,quality,0,21,172.487,1
F24-LunacekRastrigin,quality,0,22,0.310099,0
F24-LunacekRastrigin,quality,0,23,152.643,1
F24-LunacekRastrigin,quality,0,24,0.0020446,0
F24-LunacekRastrigin,quality,0,25,1.94897,0
F24-LunacekRastrigin,quality,0,26,0.0020446,0
F24-LunacekRastrigin,quality,0,27,0.310099,0
F24-LunacekRastrigin,quality,0,28,0.310099,0
F24-LunacekRastrigin,quality,0,29,0.310099,0
F24-LunacekRastrigin,quality,0,30,162.273,1
F24-LunacekRastrigin,quality,0,31,153.964,1
F24-LunacekRastrigin,quality,0,32,153.256,1
F24-LunacekRastrigin,quality,0,33,0.310099,0
F24-LunacekRastrigin,quality,0,34,0.310099,0
F24-LunacekRastrigin,quality,0,35,0.310099,0
F24-LunacekRastrigin,quality,0,36,155.484,1
F24-LunacekRastrigin,quality,0,37,0.310099,0
F24-LunacekRastrigin,quality,0,38,0.310099,0
F24-LunacekRastrigin,quality,0,39,0.0020446,0
F24-LunacekRastrigin,quality,0,40,0.0020446,0
F24-LunacekRastrigin,quality,0,41,0.310099,0
F24-LunacekRastrigin,quality,0,42,0.310099,0
F24-LunacekRastrigin,quality,0,43,0.0020446,0
F24-LunacekRastrigin,quality,0,44,0.0020446,0
F24-LunacekRastrigin,complement,0,15,0.310099,0
F24-LunacekRastrigin,complement,0,16,0.0020446,0
F24-LunacekRastrigin,complement,0,17,0.0020446,0
F24-LunacekRastrigin,complement,0,18,1.80065,0
F24-LunacekRastrigin,complement,0,19,2.9334,0
F24-LunacekRastrigin,complement,0,20,0.0020446,0
F24-LunacekRastrigin,complement,0,21,2.9334,0
F24-LunacekRastrigin,complement,0,22,0.310099,0
F24-LunacekRastrigin,complement,0,23,8.99646,0
F24-LunacekRastrigin,complement,0,24,0.0020446,0
F24-LunacekRastrigin,complement,0,25,1.94897,0
F24-LunacekRastrigin,complement,0,26,0.0020446,0
F24-LunacekRastrigin,complement,0,27,0.310099,0
F24-LunacekRastrigin,complement,0,28,0.310099,0
F24-LunacekRastrigin,complement,0,29,0.310099,0
F24-LunacekRastrigin,complement,0,30,0,0
F24-LunacekRastrigin,complement,0,31,153.964,1
F24-LunacekRastrigin,complement,0,32,12.6464,0
F24-LunacekRastrigin,complement,0,33,0.310099,0
F24-LunacekRastrigin,complement,0,34,0.310099,0
F24-LunacekRastrigin,complement,0,35,0.310099,0
F24-LunacekRastrigin,complement,0,36,155.484,1
F24-LunacekRastrigin,complement,0,37,0.310099,0
F24-LunacekRastrigin,complement,0,38,0.310099,0
F24-LunacekRastrigin,complement,0,39,0.0020446,0
F24-LunacekRastrigin,complement,0,40,0.0020446,0
F24-LunacekRastrigin,complement,0,41,0.310099,0
F24-LunacekRastrigin,complement,0,42,0.310099,0
F24-LunacekRastrigin,complement,0,43,0.0020446,0
F24-LunacekRastrigin,complement,0,44,0.0020446,0
F24-LunacekRastrigin,spread@0.1,0,15,0.310099,0
F24-LunacekRastrigin,spread@0.1,0,16,0.0020446,0
F24-LunacekRastrigin,spread@0.1,0,17,0.0020446,0
F24-LunacekRastrigin,spread@0.1,0,18,1.80065,0
F24-LunacekRastrigin,spread@0.1,0,19,168.465,1
F24-LunacekRastrigin,spread@0.1,0,20,0.0020446,0
F24-LunacekRastrigin,spread@0.1,0,21,172.487,1
F24-LunacekRastrigin,spread@0.1,0,22,0.310099,0
F24-LunacekRastrigin,spread@0.1,0,23,152.643,1
F24-LunacekRastrigin,spread@0.1,0,24,0.0020446,0
F24-LunacekRastrigin,spread@0.1,0,25,1.94897,0
F24-LunacekRastrigin,spread@0.1,0,26,0.0020446,0
F24-LunacekRastrigin,spread@0.1,0,27,0.310099,0
F24-LunacekRastrigin,spread@0.1,0,28,0.310099,0
F24-LunacekRastrigin,spread@0.1,0,29,0.310099,0
F24-LunacekRastrigin,spread@0.1,0,30,162.273,1
F24-LunacekRastrigin,spread@0.1,0,31,153.964,1
F24-LunacekRastrigin,spread@0.1,0,32,153.256,1
F24-LunacekRastrigin,spread@0.1,0,33,0.310099,0
F24-LunacekRastrigin,spread@0.1,0,34,0.310099,0
F24-LunacekRastrigin,spread@0.1,0,35,0.310099,0
F24-LunacekRastrigin,spread@0.1,0,36,155.484,1
F24-LunacekRastrigin,spread@0.1,0,37,0.310099,0
F24-LunacekRastrigin,spread@0.1,0,38,0.310099,0
F24-LunacekRastrigin,spread@0.1,0,39,0.0020446,0
F24-LunacekRastrigin,spread@0.1,0,40,0.0020446,0
F24-LunacekRastrigin,spread@0.1,0,41,0.310099,0
F24-LunacekRastrigin,spread@0.1,0,42,0.310099,0
F24-LunacekRastrigin,spread@0.1,0,43,0.0020446,0
F24-LunacekRastrigin,spread@0.1,0,44,0.0020446,0
F24-LunacekRastrigin,spread@0.25,0,15,0.310099,0
F24-LunacekRastrigin,spread@0.25,0,16,0.0789257,0
F24-LunacekRastrigin,spread@0.25,0,17,0.0789257,0
F24-LunacekRastrigin,spread@0.25,0,18,1.87753,0
F24-LunacekRastrigin,spread@0.25,0,19,166.211,1
F24-LunacekRastrigin,spread@0.25,0,20,0.0789257,0
F24-LunacekRastrigin,spread@0.25,0,21,158.802,1
F24-LunacekRastrigin,spread@0.25,0,22,0.310099,0
F24-LunacekRastrigin,spread@0.25,0,23,152.643,1
F24-LunacekRastrigin,spread@0.25,0,24,0.0789257,0
F24-LunacekRastrigin,spread@0.25,0,25,2.02585,0
F24-LunacekRastrigin,spread@0.25,0,26,0.0789257,0
F24-LunacekRastrigin,spread@0.25,0,27,0.310099,0
F24-LunacekRastrigin,spread@0.25,0,28,0.310099,0
F24-LunacekRastrigin,spread@0.25,0,29,0.310099,0
F24-LunacekRastrigin,spread@0.25,0,30,163.834,1
F24-LunacekRastrigin,spread@0.25,0,31,153.964,1
F24-LunacekRastrigin,spread@0.25,0,32,154.712,1
F24-LunacekRastrigin,spread@0.25,0,33,0.310099,0
F24-LunacekRastrigin,spread@0.25,0,34,0.310099,0
F24-LunacekRastrigin,spread@0.25,0,35,0.310099,0
F24-LunacekRastrigin,spread@0.25,0,36,155.484,1
F24-LunacekRastrigin,spread@0.25,0,37,0.310099,0
F24-LunacekRastrigin,spread@0.25,0,38,0.310099,0
F24-LunacekRastrigin,spread@0.25,0,39,0.0789257,0
F24-LunacekRastrigin,spread@0.25,0,40,0.0789257,0
F24-LunacekRastrigin,spread@0.25,0,41,0.310099,0
F24-LunacekRastrigin,spread@0.25,0,42,0.310099,0
F24-LunacekRastrigin,spread@0.25,0,43,0.0789257,0
F24-LunacekRastrigin,spread@0.25,0,44,0.0789257,0
F24-LunacekRastrigin,spread@0.5,0,15,0.310099,0
F24-LunacekRastrigin,spread@0.5,0,16,0.0789257,0
F24-LunacekRastrigin,spread@0.5,0,17,0.0789257,0
F24-LunacekRastrigin,spread@0.5,0,18,1.87753,0
F24-LunacekRastrigin,spread@0.5,0,19,2.9334,0
F24-LunacekRastrigin,spread@0.5,0,20,0.0789257,0
F24-LunacekRastrigin,spread@0.5,0,21,2.9334,0
F24-LunacekRastrigin,spread@0.5,0,22,0.310099,0
F24-LunacekRastrigin,spread@0.5,0,23,152.643,1
F24-LunacekRastrigin,spread@0.5,0,24,0.0789257,0
F24-LunacekRastrigin,spread@0.5,0,25,2.02585,0
F24-LunacekRastrigin,spread@0.5,0,26,0.0789257,0
F24-LunacekRastrigin,spread@0.5,0,27,0.310099,0
F24-LunacekRastrigin,spread@0.5,0,28,0.310099,0
F24-LunacekRastrigin,spread@0.5,0,29,0.310099,0
F24-LunacekRastrigin,spread@0.5,0,30,161.248,1
F24-LunacekRastrigin,spread@0.5,0,31,153.964,1
F24-LunacekRastrigin,spread@0.5,0,32,2.5,0
F24-LunacekRastrigin,spread@0.5,0,33,0.310099,0
F24-LunacekRastrigin,spread@0.5,0,34,0.310099,0
F24-LunacekRastrigin,spread@0.5,0,35,0.310099,0
F24-LunacekRastrigin,spread@0.5,0,36,155.484,1
F24-LunacekRastrigin,spread@0.5,0,37,0.310099,0
F24-LunacekRastrigin,spread@0.5,0,38,0.310099,0
F24-LunacekRastrigin,spread@0.5,0,39,0.0789257,0
F24-LunacekRastrigin,spread@0.5,0,40,0.0789257,0
F24-LunacekRastrigin,spread@0.5,0,41,0.310099,0
F24-LunacekRastrigin,spread@0.5,0,42,0.310099,0
F24-LunacekRastrigin,spread@0.5,0,43,0.0789257,0
F24-LunacekRastrigin,spread@0.5,0,44,0.0789257,0
F24-LunacekRastrigin,spread@1,0,15,0.310099,0
F24-LunacekRastrigin,spread@1,0,16,2.70402,0
F24-LunacekRastrigin,spread@1,0,17,2.70402,0
F24-LunacekRastrigin,spread@1,0,18,4.50263,0
F24-LunacekRastrigin,spread@1,0,19,2.9334,0
F24-LunacekRastrigin,spread@1,0,20,2.70402,0
F24-LunacekRastrigin,spread@1,0,21,2.9334,0
F24-LunacekRastrigin,spread@1,0,22,0.310099,0
F24-LunacekRastrigin,spread@1,0,23,152.643,1
F24-LunacekRastrigin,spread@1,0,24,2.70402,0
F24-LunacekRastrigin,spread@1,0,25,4.65095,0
F24-LunacekRastrigin,spread@1,0,26,2.70402,0
F24-LunacekRastrigin,spread@1,0,27,0.310099,0
F24-LunacekRastrigin,spread@1,0,28,0.310099,0
F24-LunacekRastrigin,spread@1,0,29,0.310099,0
F24-LunacekRastrigin,spread@1,0,30,4.95031,0
F24-LunacekRastrigin,spread@1,0,31,153.964,1
F24-LunacekRastrigin,spread@1,0,32,1.65384,0
F24-LunacekRastrigin,spread@1,0,33,0.310099,0
F24-LunacekRastrigin,spread@1,0,34,0.310099,0
F24-LunacekRastrigin,spread@1,0,35,0.310099,0
F24-LunacekRastrigin,spread@1,0,36,155.484,1
F24-LunacekRastrigin,spread@1,0,37,0.310099,0
F24-LunacekRastrigin,spread@1,0,38,0.310099,0
F24-LunacekRastrigin,spread@1,0,39,2.70402,0
F24-LunacekRastrigin,spread@1,0,40,2.70402,0
F24-LunacekRastrigin,spread@1,0,41,0.310099,0
F24-LunacekRastrigin,spread@1,0,42,0.310099,0
F24-LunacekRastrigin,spread@1,0,43,2.70402,0
F24-LunacekRastrigin,spread@1,0,44,2.70402,0
