function,method,seed,scenario,regret
F03-RastriginSep,NMMSO+s,2,33,14.6923
F03-RastriginSep,NMMSO+s,2,34,3.7075
F03-RastriginSep,NMMSO+s,2,35,22.9023
F03-RastriginSep,NMMSO+s,2,36,13.2042
F03-RastriginSep,NMMSO+s,2,37,253.434
F03-RastriginSep,NMMSO+s,2,38,0.469974
F03-RastriginSep,NMMSO+s,2,39,424.904
F03-RastriginSep,NMMSO+s,2,40,194
F03-RastriginSep,NMMSO+s,2,41,25.9245
F03-RastriginSep,NMMSO+s,2,42,520.029
F03-RastriginSep,NMMSO+s,2,43,655.762
F03-RastriginSep,NMMSO+s,2,44,1216.33
F03-RastriginSep,NCDE,2,15,46.6233
F03-RastriginSep,NCDE,2,16,8.85744
F03-RastriginSep,NCDE,2,17,1013.85
F03-RastriginSep,NCDE,2,18,958.797
F03-RastriginSep,NCDE,2,19,27.0458
F03-RastriginSep,NCDE,2,20,403.599
F03-RastriginSep,NCDE,2,21,30.4205
F03-RastriginSep,NCDE,2,22,42.7933
F03-RastriginSep,NCDE,2,23,12.4825
F03-RastriginSep,NCDE,2,24,23.8885
F03-RastriginSep,NCDE,2,25,159.968
F03-RastriginSep,NCDE,2,26,14.4483
F03-RastriginSep,NCDE,2,27,27.6296
F03-RastriginSep,NCDE,2,28,11.5767
F03-RastriginSep,NCDE,2,29,892.57
F03-RastriginSep,NCDE,2,30,69.0285
F03-RastriginSep,NCDE,2,31,202.406
F03-RastriginSep,NCDE,2,32,842.081
F03-RastriginSep,NCDE,2,33,15.8571
F03-RastriginSep,NCDE,2,34,2.22719
F03-RastriginSep,NCDE,2,35,14.9123
F03-RastriginSep,NCDE,2,36,5.19403
F03-RastriginSep,NCDE,2,37,182.84
F03-RastriginSep,NCDE,2,38,13.4146
F03-RastriginSep,NCDE,2,39,308.378
F03-RastriginSep,NCDE,2,40,160.826
F03-RastriginSep,NCDE,2,41,15.2644
F03-RastriginSep,NCDE,2,42,365.583
F03-RastriginSep,NCDE,2,43,478.124
F03-RastriginSep,NCDE,2,44,951.732
F03-RastriginSep,NCDE+s,2,15,33.7812
F03-RastriginSep,NCDE+s,2,16,9.71723
F03-RastriginSep,NCDE+s,2,17,1018.19
F03-RastriginSep,NCDE+s,2,18,949.242
F03-RastriginSep,NCDE+s,2,19,23.2379
F03-RastriginSep,NCDE+s,2,20,404.889
F03-RastriginSep,NCDE+s,2,21,6.61096
F03-RastriginSep,NCDE+s,2,22,40.78
F03-RastriginSep,NCDE+s,2,23,5.07948
F03-RastriginSep,NCDE+s,2,24,23.7264
F03-RastriginSep,NCDE+s,2,25,157.468
F03-RastriginSep,NCDE+s,2,26,3.25702
F03-RastriginSep,NCDE+s,2,27,19.2189
F03-RastriginSep,NCDE+s,2,28,14.3615
F03-RastriginSep,NCDE+s,2,29,884.565
F03-RastriginSep,NCDE+s,2,30,49.1213
F03-RastriginSep,NCDE+s,2,31,202.679
F03-RastriginSep,NCDE+s,2,32,829.377
F03-RastriginSep,NCDE+s,2,33,13.429
F03-RastriginSep,NCDE+s,2,34,2.3857
F03-RastriginSep,NCDE+s,2,35,17.9479
F03-RastriginSep,NCDE+s,2,36,6.15208
F03-RastriginSep,NCDE+s,2,37,182.352
F03-RastriginSep,NCDE+s,2,38,14.7813
F03-RastriginSep,NCDE+s,2,39,307.782
F03-RastriginSep,NCDE+s,2,40,162.572
F03-RastriginSep,NCDE+s,2,41,11.2171
F03-RastriginSep,NCDE+s,2,42,364.409
F03-RastriginSep,NCDE+s,2,43,467.66
F03-RastriginSep,NCDE+s,2,44,951.433
F03-RastriginSep,r3pso,2,15,38.5807
F03-RastriginSep,r3pso,2,16,20.5091
