function,K,seed,hunt,eval,f,switch,exhausted,sigma_span,no_improve,distinct
N07-Vincent2D,36,2,13,9305,3.5666593678485015e-08,1,1,9.911740100212908e-05,590,0
N07-Vincent2D,36,2,14,9750,3.677523729983534e-08,1,1,0.0025558563749598557,425,0
N07-Vincent2D,36,2,15,10305,6.715217304442689e-08,1,1,0.0005922999866428463,535,1
N07-Vincent2D,36,2,16,10885,1.2105877633672435e-08,1,1,0.0002628066506671099,560,0
N07-Vincent2D,36,2,17,11495,6.807807695352608e-08,1,1,9.911740100212908e-05,590,1
N07-Vincent2D,36,2,18,12065,2.41719331217638e-08,1,1,0.0003637462292970379,550,1
N07-Vincent2D,36,2,19,12570,6.485125192412511e-08,1,1,0.001381082774826416,485,0
N07-Vincent2D,36,2,20,13100,1.2339352428725192e-08,1,1,0.0010686555242702853,510,0
N07-Vincent2D,36,2,21,13710,4.6532158570755655e-08,1,1,9.911740100212908e-05,590,0
N07-Vincent2D,36,2,22,14310,6.166024468789999e-08,1,1,0.00013718671418979804,580,0
N07-Vincent2D,36,2,23,14915,5.5907956042489104e-09,1,1,0.00011660870706132833,585,0
N07-Vincent2D,36,2,24,15485,3.5892065985976274e-08,1,1,0.0003637462292970379,550,0
N07-Vincent2D,36,2,25,16055,4.606921621963522e-08,1,1,0.0003637462292970379,550,0
N07-Vincent2D,36,2,26,16525,2.1553520079820032e-09,1,1,0.001977672941931788,450,1
N07-Vincent2D,36,2,27,17090,1.505893598707786e-08,1,1,0.00042793674034945645,545,1
N07-Vincent2D,36,2,28,17540,4.9235077126397186e-08,1,1,0.002428063556211863,430,0
N07-Vincent2D,36,2,29,18095,5.209333187039533e-09,1,1,0.0005922999866428463,535,1
N07-Vincent2D,36,2,30,18645,5.472106168191715e-08,1,1,0.0006968235136974662,530,0
N07-Vincent2D,36,2,31,19160,4.1500271219518936e-08,1,1,0.0012464272042808403,495,0
N07-Vincent2D,36,2,32,19680,5.730001506609739e-08,1,1,0.0011841058440667982,500,0
N06-Shubert2D,18,0,0,2850,1.4210854715202004e-13,1,1,1e-06,901,1
N06-Shubert2D,18,0,1,3410,2.8674213865542697e-06,1,1,0.0005034549886464197,540,1
N06-Shubert2D,18,0,2,4030,8.937404078324107e-05,1,1,7.161232222403831e-05,600,1
N06-Shubert2D,18,0,3,4620,9.889281156461038e-05,1,1,0.00018987780510698704,570,0
N06-Shubert2D,18,0,4,5270,0.00011378174230003424,1,1,2.7008552639577468e-05,630,0
N06-Shubert2D,18,0,5,5855,5.946396012745936e-05,1,1,0.00022338565306704358,565,0
N06-Shubert2D,18,0,6,6420,0.00012652815502178782,1,1,0.0004279367403494568,545,0
N06-Shubert2D,18,0,7,7015,6.565063443986219e-06,1,1,0.000161396134340939,575,1
N06-Shubert2D,18,0,8,7595,9.041753469318792e-05,1,1,0.0002628066506671101,560,0
N06-Shubert2D,18,0,9,8220,3.291367829660885e-05,1,1,6.0870473890432556e-05,605,1
N06-Shubert2D,18,0,10,8775,0.000113182872979678,1,1,0.0005922999866428468,535,0
N06-Shubert2D,18,0,11,9345,0.00014913841104657877,1,1,0.00036374622929703825,550,0
N06-Shubert2D,18,0,12,9850,0.0001381293544682194,1,1,0.0013810827748264173,485,0
N06-Shubert2D,18,0,13,10490,8.410328831587321e-05,1,1,3.7382079777961895e-05,620,0
N06-Shubert2D,18,0,14,11125,0.00011518418486389237,1,1,4.397891738583752e-05,615,1
N06-Shubert2D,18,0,15,11760,0.00015340200167202056,1,1,4.397891738583752e-05,615,1
N06-Shubert2D,18,0,16,12355,1.3014894420848577e-05,1,1,0.000161396134340939,575,1
N06-Shubert2D,18,0,17,12960,7.78059561810096e-05,1,1,0.00011660870706132842,585,1
N06-Shubert2D,18,0,18,13610,0.00012984095403112406,1,1,2.7008552639577468e-05,630,1
N06-Shubert2D,18,0,19,14230,6.571661802468043e-05,1,1,7.161232222403831e-05,600,0
N06-Shubert2D,18,0,20,14795,5.0200571479308564e-05,1,1,0.0004279367403494568,545,1
N06-Shubert2D,18,0,21,15400,8.002113332850058e-06,1,1,0.00011660870706132842,585,0
N06-Shubert2D,18,0,22,16035,2.2630913122156926e-05,1,1,4.397891738583752e-05,615,1
N06-Shubert2D,18,0,23,16640,0.00010232163714363196,1,1,0.00011660870706132842,585,0
N06-Shubert2D,18,0,24,17225,2.0531351935915154e-05,1,1,0.00022338565306704358,565,1
N06-Shubert2D,18,0,25,17825,0.00014855955285497657,1,1,0.00013718671418979815,580,0
