function,seed,div_ev,bank_ev,base_best_f,var_best_f,base_succ_ev,var_succ_ev,same
F16-Weierstrass,4,-1,741,0.0,0.0,728,728,True
F16-Weierstrass,5,-1,1024,0.0,0.0,918,918,True
F16-Weierstrass,6,-1,894,0.0,0.0,788,788,True
F16-Weierstrass,7,-1,1087,0.0,0.0,929,929,True
F16-Weierstrass,8,-1,833,0.0,0.0,769,769,True
F16-Weierstrass,9,-1,1035,0.0,0.0,894,894,True
F16-Weierstrass,10,-1,1277,0.0,0.0,1144,1144,True
F16-Weierstrass,11,-1,993,0.0,0.0,948,948,True
F16-Weierstrass,12,-1,923,0.0,0.0,734,734,True
F16-Weierstrass,13,-1,984,0.0,0.0,798,798,True
F16-Weierstrass,14,-1,904,0.0,0.0,797,797,True
F16-Weierstrass,15,-1,1218,0.0,0.0,1012,1012,True
F16-Weierstrass,16,-1,888,0.0,0.0,798,798,True
F16-Weierstrass,17,-1,1108,0.0,0.0,877,877,True
F16-Weierstrass,18,-1,1022,0.0,0.0,803,803,True
F16-Weierstrass,19,-1,2293,0.0,0.0,2141,2141,True
F17-SchafferF7,0,-1,2348,3.552713678800501e-15,3.552713678800501e-15,1674,1674,True
F17-SchafferF7,1,-1,990,2.8777666198465113e-05,2.8777666198465113e-05,-1,-1,True
F17-SchafferF7,2,-1,918,2.87776661949124e-05,2.87776661949124e-05,-1,-1,True
F17-SchafferF7,3,-1,2494,3.552713678800501e-15,3.552713678800501e-15,1848,1848,True
F17-SchafferF7,4,-1,1143,2.8777732861584582e-05,2.8777732861584582e-05,-1,-1,True
F17-SchafferF7,5,-1,2963,4.92034146759579e-09,4.92034146759579e-09,-1,-1,True
F17-SchafferF7,6,-1,2359,3.552713678800501e-15,3.552713678800501e-15,1629,1629,True
F17-SchafferF7,7,-1,2378,3.552713678800501e-15,3.552713678800501e-15,1699,1699,True
F17-SchafferF7,8,-1,2484,1.2434497875801753e-13,1.2434497875801753e-13,1764,1764,True
F17-SchafferF7,9,-1,4995,2.1724844145865063e-11,2.1724844145865063e-11,4790,4790,True
F17-SchafferF7,10,-1,2234,7.765876830490015e-11,7.765876830490015e-11,1644,1644,True
F17-SchafferF7,11,-1,4985,1.823038620329953e-05,1.823038620329953e-05,-1,-1,True
F17-SchafferF7,12,-1,2569,4.391154106997419e-12,4.391154106997419e-12,1633,1633,True
F17-SchafferF7,13,-1,2928,2.902424967032857e-10,2.902424967032857e-10,-1,-1,True
F17-SchafferF7,14,-1,3013,9.312373094871873e-11,9.312373094871873e-11,2119,2119,True
F17-SchafferF7,15,-1,2203,3.552713678800501e-15,3.552713678800501e-15,1503,1503,True
F17-SchafferF7,16,-1,2584,3.410605131648481e-13,3.410605131648481e-13,1654,1654,True
F17-SchafferF7,17,-1,2878,1.7434892640721955e-08,1.7434892640721955e-08,-1,-1,True
F17-SchafferF7,18,-1,2318,3.552713678800501e-15,3.552713678800501e-15,1564,1564,True
F17-SchafferF7,19,-1,4924,1.6727597085264279e-10,1.6727597085264279e-10,-1,-1,True
F18-SchafferF7ill,0,-1,2598,3.552713678800501e-15,3.552713678800501e-15,1898,1898,True
F18-SchafferF7ill,1,-1,2358,3.552713678800501e-15,3.552713678800501e-15,1668,1668,True
F18-SchafferF7ill,2,-1,3318,3.552713678800501e-15,3.552713678800501e-15,2064,2064,True
