function,K,seed,hunt,eval,f,switch,exhausted,sigma_span,no_improve,distinct
N08-Shubert3D,81,2,39,30350,916.2412939655046,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,2,40,31090,916.2407600782324,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,2,41,31830,1298.0334289146826,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,2,42,32495,0.0015851416815166885,1,1,1.658662738978051e-05,645,1
N08-Shubert3D,81,2,43,33135,0.0013031192902417388,1,1,3.7382079777961895e-05,620,1
N08-Shubert3D,81,2,44,33875,576.9066033988652,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,2,45,34520,0.0019392443095966883,1,1,3.177476781126761e-05,625,1
N08-Shubert3D,81,2,46,35145,0.0008358319287253835,1,1,6.0870473890432556e-05,605,1
N08-Shubert3D,81,2,47,35840,0.001053940699875966,1,1,6.2556384859080765e-06,675,1
N08-Shubert3D,81,2,48,36475,0.0014579316102754092,1,1,4.397891738583752e-05,615,1
N08-Shubert3D,81,2,49,37145,0.0019313330776640214,1,1,1.4098633281313433e-05,650,1
N08-Shubert3D,81,2,50,37820,0.00056630512153788,1,1,1.1983838289116417e-05,655,1
N08-Shubert3D,81,2,51,38485,0.0006950964620955347,1,1,1.658662738978051e-05,645,1
N08-Shubert3D,81,2,52,39225,1298.0321533987212,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,2,53,39965,1556.999372366408,1,1,1.4489118831577082e-06,720,1
